event_id,latitude,longitude,event_date,event_year,event_month,event_day_of_week,event_hour,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,total_casualties,severity_class,country_name,admin_division_population,gazeteer_distance,slope,aspect,curvature
9142,26.3185,94.5247,06/14/2016 08:00:00 AM,,,,,landslide,continuous_rain,medium,retaining_wall,0,0,0,none,India,34021,0.94289,89.95498657,135,-2592000000
9137,28.1836,82.8643,07/22/2016 12:00:00 AM,,,,,landslide,continuous_rain,medium,unknown,0,3,3,low,Nepal,0,10.70222,89.9987793,165.0332794,0
9012,27.5138,87.8086,07/15/2016 11:00:00 PM,,,,,mudslide,rain,medium,natural_slope,0,0,0,none,Nepal,1035,60.18201,89.99934387,292.186676,9072000000
7994,11.81,78.2253,09-07-2015 00:00,,,,,landslide,unknown,medium,unknown,2,0,2,low,India,778396,19.01404,89.99845123,182.7927094,-2592000000
5943,34.0823,74.056,03-11-2014 00:00,,,,,landslide,continuous_rain,large,above_road,0,0,0,none,India,6755,0.93505,89.99615479,264.8055725,-1296000000
4916,32.2108,76.2833,06-12-2013 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,19540,4.97778,89.99185181,129.8055725,0
39,28.3667,82.1667,03/21/2007 12:00:00 AM,,,,,landslide,rain,medium,unknown,0,0,0,none,Nepal,0,1.36246,89.99928284,125.387886,-9072000000
6107,26.1844,91.7896,06/26/2014 11:00:00 PM,,,,,landslide,continuous_rain,small,unknown,1,0,1,low,India,899094,4.37969,89.99390411,163.3007507,-2592000000
6569,19.1355,72.9981,08/28/2011 12:00:00 AM,,,,,landslide,continuous_rain,medium,unknown,2,1,3,low,India,100000,1.71702,89.9935379,23.96248817,1296000000
7026,34.2607,75.4446,05/30/2015 12:00:00 AM,,,,,landslide,rain,small,above_road,0,0,0,none,India,7750,29.70137,89.99195099,161.5650482,-10368000000
7245,28.1996,84.0011,07/16/2015 12:00:00 AM,,,,,landslide,monsoon,medium,other,1,12,13,high,Nepal,200000,8.11767,89.99195099,124.6951523,-1296000000
7295,30.4517,78.1443,07/24/2015 12:00:00 AM,,,,,landslide,continuous_rain,small,above_road,0,0,0,none,India,25753,7.07957,89.99925995,147.3247223,-9072000000
7003,21.444,92.1117,06/27/2015 09:00:00 AM,,,,,landslide,monsoon,small,unknown,1,0,1,low,Bangladesh,253788,15.10994,89.98199463,188.1300964,-5184000000
4926,30.6738,77.3544,06/16/2013 12:00:00 AM,,,,,landslide,rain,medium,unknown,0,0,0,none,India,27544,13.82422,89.99868774,165.6772766,7776000000
4248,21.5202,91.9696,03-08-2012 08:30,,,,,landslide,unknown,medium,unknown,1,0,1,low,Bangladesh,253788,7.34628,89.99394226,115.3461761,-1296000000
255,24.2451,94.0691,09-10-2007 00:00,,,,,landslide,rain,medium,unknown,0,0,0,none,India,30418,29.41705,89.99901581,122.334938,-15552000000
