latitude,longitude,elevation,slope,aspect,curvature,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days,landslide
6.260792736,80.49138664,88.0,89.90996552,225.0,-2592000000.0,116.2,84.8,54.4,30.3,23.7,0.499291667,4.13,2,10,1
27.54295099,88.59676956,1679.0,89.99933624,146.0611877,59616002048.0,420.1,292.2,105.4,30.1,12.4,0.424658333,-6.04,8,10,1
34.78860948,73.51484236,2165.0,89.99900818,65.03720856,5184000000.0,43.8,20.1,9.6,24.0,8.7,0.3442,0.11,0,5,1
32.23843313,78.06239076,3748.0,89.99880981,240.3215027,-3888000000.0,30.6,30.0,21.3,18.7,0.8,0.383025,0.79,0,6,1
28.27909521,83.00633062,1925.0,89.99876404,98.91492462,18144000000.0,117.8,78.2,48.3,23.5,12.9,0.419258333,-0.92,2,10,1
19.170539,73.022276,41.0,89.99806213,52.43140793,10368000000.0,55.1,49.1,29.4,28.8,24.3,0.4087,2.49,0,10,1
25.660517,94.104931,1436.0,89.99715424,100.3048477,1296000000.0,29.8,21.9,11.6,26.8,18.5,0.486008333,-0.37,0,10,1
28.107142,84.307977,484.0,89.98576355,26.56505203,1296000000.0,150.8,119.0,80.1,31.9,23.2,0.422516667,3.28,2,10,1
27.8077847,84.43754872,546.0,89.9990921,274.8990784,16848000000.0,200.2,51.3,14.9,30.9,22.5,0.412558333,-1.89,1,10,1
33.029977,74.948082,1747.0,89.99902344,247.9540863,11664000000.0,15.0,11.7,5.1,24.4,14.4,0.407758333,-0.28,0,6,1
28.21676766,84.00622259,891.0,89.99838257,246.0375061,2592000000.0,356.9,155.1,85.7,28.1,19.9,0.418308333,2.3,6,10,1
25.06657276,93.9310888,984.0,89.95973969,18.43494797,3888000000.0,131.0,119.5,40.6,26.9,19.6,0.504416667,1.07,3,10,1
27.503555,85.219709,1167.0,89.99927521,70.3241806,-24624001024.0,124.2,87.3,38.9,28.6,21.0,0.420483333,0.89,0,10,1
31.45206,78.401303,5868.0,89.99963379,152.4093018,-89424003072.0,60.7,40.7,17.7,0.5,-9.6,0.52715,0.19,0,10,1
32.30628994,77.52161234,4883.0,89.99885559,119.5536804,23328000000.0,38.2,38.0,13.9,2.6,-9.0,0.3892,-0.14,0,6,1
6.702272807,80.38461313,124.0,89.99877167,23.34401131,9072000000.0,226.1,171.8,90.5,29.8,23.3,0.507975,6.05,5,10,1
28.06986667,83.65247597,1378.0,89.99680328,231.115509,29808001024.0,77.7,57.5,31.3,26.3,17.8,0.410391667,1.3,0,10,1
24.768609,92.821182,21.0,89.95498657,135.0,1296000000.0,73.5,73.2,31.4,34.2,23.7,0.485383333,1.54,1,7,1
28.007828,86.191717,2679.0,89.99853516,82.05652618,-20736000000.0,125.0,77.8,28.0,20.8,10.8,0.41375,-0.21,0,10,1
28.27254506,83.95706865,1007.0,89.99920654,245.0260925,-1296000000.0,410.2,370.1,296.3,27.6,20.0,0.422466667,34.32,6,10,1
27.10647226,93.65975252,244.0,89.99814606,351.6341248,-1296000000.0,208.7,183.9,157.5,29.8,23.6,0.424866667,22.3,2,10,1
14.52203442,74.41035052,79.0,89.99784088,279.7824097,6480000000.0,292.4,222.7,89.1,28.1,23.6,0.345058333,-4.11,8,10,1
27.08168565,93.60815652,261.0,89.99611664,142.4314117,12960000000.0,208.7,183.9,157.5,29.4,23.2,0.424866667,22.3,2,10,1
33.18477201,75.80813836,1103.0,89.99902344,259.3803406,1296000000.0,60.4,33.9,25.8,32.1,16.4,0.345,2.69,0,10,1
30.922325,78.681379,2083.0,89.99893951,269.045166,15552000000.0,72.5,46.6,23.5,24.4,15.6,0.414791667,1.1,0,10,1
